uri,cluster
<http://example.org/inst/Paper_0>,2
<http://example.org/inst/Paper_100>,2
<http://example.org/inst/Paper_101>,1
<http://example.org/inst/Paper_102>,1
<http://example.org/inst/Paper_103>,1
<http://example.org/inst/Paper_104>,1
<http://example.org/inst/Paper_105>,1
<http://example.org/inst/Paper_106>,1
<http://example.org/inst/Paper_107>,1
<http://example.org/inst/Paper_108>,1
<http://example.org/inst/Paper_109>,2
<http://example.org/inst/Paper_10>,1
<http://example.org/inst/Paper_110>,2
<http://example.org/inst/Paper_111>,2
<http://example.org/inst/Paper_112>,2
<http://example.org/inst/Paper_113>,2
<http://example.org/inst/Paper_114>,0
<http://example.org/inst/Paper_115>,1
<http://example.org/inst/Paper_116>,2
<http://example.org/inst/Paper_117>,0
<http://example.org/inst/Paper_118>,2
<http://example.org/inst/Paper_119>,1
<http://example.org/inst/Paper_11>,1
<http://example.org/inst/Paper_120>,1
<http://example.org/inst/Paper_121>,2
<http://example.org/inst/Paper_122>,1
<http://example.org/inst/Paper_123>,1
<http://example.org/inst/Paper_124>,1
<http://example.org/inst/Paper_125>,2
<http://example.org/inst/Paper_126>,0
<http://example.org/inst/Paper_127>,0
<http://example.org/inst/Paper_128>,1
<http://example.org/inst/Paper_129>,1
<http://example.org/inst/Paper_12>,1
<http://example.org/inst/Paper_130>,2
<http://example.org/inst/Paper_131>,1
<http://example.org/inst/Paper_132>,2
<http://example.org/inst/Paper_133>,1
<http://example.org/inst/Paper_134>,1
<http://example.org/inst/Paper_135>,0
<http://example.org/inst/Paper_136>,0
<http://example.org/inst/Paper_137>,2
<http://example.org/inst/Paper_138>,1
<http://example.org/inst/Paper_139>,2
<http://example.org/inst/Paper_13>,1
<http://example.org/inst/Paper_140>,1
<http://example.org/inst/Paper_141>,2
<http://example.org/inst/Paper_142>,2
<http://example.org/inst/Paper_143>,1
<http://example.org/inst/Paper_144>,2
<http://example.org/inst/Paper_145>,0
<http://example.org/inst/Paper_146>,2
<http://example.org/inst/Paper_147>,1
<http://example.org/inst/Paper_148>,1
<http://example.org/inst/Paper_149>,1
<http://example.org/inst/Paper_14>,1
<http://example.org/inst/Paper_150>,1
<http://example.org/inst/Paper_151>,1
<http://example.org/inst/Paper_152>,2
